,rank,name,year,Douban_rating,country,genres,budget,revenue,keywords,MLens_rating
232,233,Harry Potter and the Chamber of Secrets,2002,8.5,DE,Adventure/Fantasy,100000000,876688482,flying car/witch/magic/child hero/broom/school of witchcraft/giant spider/giant snake/black magic/child driving car/aftercreditsstinger/based on young adult novel/wizarding world,4.469993781094527
233,234,Tokyo Story,1953,9.2,JP,Drama,0,0,coma/beach/baby/fish/boat/office/baseball/classroom/dream/trip/lantern/lie/ambition/water/tea/song/retirement/cake/marriage/peace/class/swing/honor/gift/teacher/school/old man,4.469993781094527
234,235,Crash,2004,8.6,DE,Drama,6500000,98410061,race politics/daughter/installer/police/fall/car crash/racism/los angeles/bigotry/social services/collision,4.469993781094527
235,236,Spotlight,2015,8.8,CA,Drama/Thriller/History,20000000,88346473,gay/child abuse/journalism/newspaper/judge/florida/boston/pedophilia/sex scandal/victim/court/cover-up/based on a true story/priest/conspiracy/lawyer/catholic/catholic church/lgbt/catholicism/archdiocese/investigative journalism/cardinal,4.469993781094527
236,237,The Bucket List,2007,8.6,US,Drama/Comedy,45000000,175372502,africa/himalaya/brain tumor/parent child relationship/husband wife relationship/sense of life/male friendship/safari/dying and death/wish/journey round the world/terminal illness/billionaire/estranged father/elderly/bucket list/taj mahal,4.469993781094527
237,238,A Clockwork Orange,1971,8.5,GB,Science Fiction/Drama,2200000,26589000,street gang/sexuality/based on novel or book/parent child relationship/great britain/social worker/society/dystopia/satire/controversial/violence/cult film/futuristic society,4.469993781094527
238,239,Requiem for a Dream,2000,8.7,US,Crime/Drama,4500000,7390108,drug addiction/junkie/heroin/speed/diet/unsociability/illegal prostitution,4.469993781094527
239,240,Black Hawk Down,2001,8.6,GB,Action/History/War,92000000,172989651,prisoner of war/wound/somalia/warlord/famine/delta force/rescue operation,4.469993781094527
240,241,"Lust, Caution",2007,8.4,TW,Action/Drama/Romance/Thriller,15000000,0,sexual obsession/china/sex/resistance/in love with enemy/cheating/traitor/shanghai/insurgence/war on freedom/lover/occupying power/insurrection/secret love/love/extramarital affair/resistance fighter,4.469993781094527
241,242,Shoplifters,2018,8.7,JP,Drama/Crime,0,0,"secret/family drama/tokyo, japan/poverty/orphan/shoplifting/petty crimes",4.469993781094527
